label,tile_id,case_id,image_filename,strategy,accepted,reject_reason,target_type,full_bbox,confidence,visibility,damage_or_relevance,reason,raw_eval_status,after_postprocess_eval_status
v050_tile_025,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[718.0, 650.0, 968.0, 900.0]",0.88,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
v050_tile_001,53_C_anchor_0,53,53.jpg,C,True,,military_equipment,"[26.0, 25.0, 688.0, 867.0]",0.99,clear,damaged_or_bda_relevant,"tank covered in snow and camouflage, appears abandoned and non-operational",FP,FP
v050_tile_002,53_C_anchor_0,53,53.jpg,C,True,,military_equipment,"[533.0, 386.0, 955.0, 752.0]",0.98,clear,damaged_or_bda_relevant,"second tank similarly covered and abandoned, visible in background",FP,FP
v050_tile_003,53_C_anchor_1,53,53.jpg,C,True,,military_equipment,"[614.0, 434.0, 1461.0, 1052.0]",0.99,clear,damaged_or_bda_relevant,"tank covered in camouflage netting and snow, appears abandoned and weathered, indicating potential BDA relevance",TP,TP
v050_tile_004,53_D_center_broad,53,53.jpg,D,True,,military_equipment,"[163.0, 464.0, 713.0, 1023.0]",0.98,clear,damaged_or_bda_relevant,"tank covered in camouflage netting and ice, with visible damage to hull and tracks, indicating operational use or abandonment",FP,FP
v050_tile_005,53_D_center_broad,53,53.jpg,D,True,,military_equipment,"[711.0, 592.0, 1070.0, 894.0]",0.97,clear,damaged_or_bda_relevant,"tank covered in camouflage netting and ice, with visible damage to hull and tracks, indicating operational use or abandonment",FP,FP
v050_tile_001,66_A_grid_0_1,66,66.jpg,A,True,,military_equipment,"[238.0, 304.0, 312.0, 551.0]",0.91,clear,damaged_or_bda_relevant,"side panel dented, mud splatter, debris near wheels",FP,FP
v050_tile_002,66_A_grid_0_1,66,66.jpg,A,True,,military_equipment,"[188.0, 322.0, 250.0, 522.0]",0.89,clear,damaged_or_bda_relevant,"side panel dented, mud splatter, debris near wheels",FP,FP
v050_tile_003,66_A_grid_0_1,66,66.jpg,A,True,,military_equipment,"[148.0, 341.0, 200.0, 501.0]",0.87,clear,damaged_or_bda_relevant,"side panel dented, mud splatter, debris near wheels",FP,FP
v050_tile_004,66_A_grid_0_1,66,66.jpg,A,True,,military_equipment,"[112.0, 354.0, 162.0, 486.0]",0.85,clear,damaged_or_bda_relevant,"side panel dented, mud splatter, debris near wheels",FP,FP
v050_tile_005,66_A_grid_0_1,66,66.jpg,A,True,,military_equipment,"[80.0, 366.0, 128.0, 468.0]",0.83,clear,damaged_or_bda_relevant,"side panel dented, mud splatter, debris near wheels",FP,FP
v050_tile_006,66_A_grid_0_1,66,66.jpg,A,True,,military_equipment,"[50.0, 380.0, 98.0, 454.0]",0.81,clear,damaged_or_bda_relevant,"side panel dented, mud splatter, debris near wheels",FP,FP
v050_tile_001,67_A_grid_1_1,67,67.jpg,A,True,,military_equipment,"[464.0, 236.0, 614.0, 330.0]",0.92,partial,damaged_or_bda_relevant,tank partially obscured by dust but clearly military equipment in motion,FP,FP
v050_tile_002,67_B_middle_lower_strip,67,67.jpg,B,True,,military_equipment,"[480.0, 329.0, 550.0, 439.0]",0.95,partial,damaged_or_bda_relevant,tank partially obscured by dust but identifiable as active military equipment,FP,FP
v050_tile_003,67_B_middle_lower_strip,67,67.jpg,B,True,,military_equipment,"[380.0, 289.0, 430.0, 369.0]",0.92,partial,damaged_or_bda_relevant,"tank partially visible behind dust, consistent with active movement",FP,FP
v050_tile_001,76_B_lower_strip,76,76.jpg,B,True,,buildings,"[288.0, 715.0, 687.0, 1243.0]",0.99,clear,damaged_or_bda_relevant,"building shows extensive fire damage, structural degradation, and missing windows",FP,FP
v050_tile_002,76_C_anchor_0,76,76.jpg,C,True,,buildings,"[879.0, 285.0, 1374.0, 775.0]",0.98,clear,damaged_or_bda_relevant,severe structural damage with visible holes and charred surfaces,FP,FP
v050_tile_003,76_C_anchor_0,76,76.jpg,C,True,,buildings,"[567.0, 375.0, 777.0, 680.0]",0.95,clear,damaged_or_bda_relevant,significant damage including missing sections and burnt exterior,FP,FP
v050_tile_004,76_D_center_broad,76,76.jpg,D,True,,buildings,"[346.0, 456.0, 588.0, 856.0]",0.99,clear,damaged_or_bda_relevant,"severe structural damage, charred facades, missing windows, and collapsed sections visible",TP,TP
v050_tile_005,76_D_center_broad,76,76.jpg,D,True,,buildings,"[688.0, 350.0, 1088.0, 916.0]",0.99,clear,damaged_or_bda_relevant,"extensive fire damage, exposed rebar, missing walls, and burnt-out balconies",TP,TP
v050_tile_001,108_A_grid_0_1,108,108.jpg,A,True,,buildings,"[187.0, 285.0, 998.0, 672.0]",0.99,clear,damaged_or_bda_relevant,multi-story building with extensive structural damage and missing windows,FP,FP
v050_tile_002,108_A_grid_1_1,108,108.jpg,A,True,,buildings,"[729.0, 285.0, 1486.0, 673.0]",0.99,clear,damaged_or_bda_relevant,"multiple windows broken, facade damaged, appears structurally compromised",TP,TP
v050_tile_001,166_D_center_broad,166,166.jpg,D,True,,buildings,"[96.0, 333.0, 246.0, 550.0]",0.95,clear,damaged_or_bda_relevant,collapsed and burned building structure with debris,FP,FP
