case_id,distance_to_nearest_prediction_center,image_filename,iou_with_nearest_prediction,likely_recoverable_by,nearest_predicted_label,nearest_prediction_bbox,nearest_prediction_target_type,primary_failure_class,recovery_reason,reference_area,reference_area_ratio,reference_bbox,reference_label,reference_position,reviewer_note,risk_to_case_110,risk_to_controls_155_166_office,risk_to_dense_cases,target_type,taxonomy_tags
70,0.229504,70.jpg,0.09353,C,target_0,"[134.0, 211.0, 312.0, 285.0]",military_equipment,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,125481.0,0.464607,"[135.0, 1.0, 588.0, 278.0]",target_2,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
76,0.003785,76.jpg,0.947217,C,target_0,"[406.0, 485.0, 811.0, 932.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,179498.0,0.079674,"[403.0, 488.0, 801.0, 939.0]",target_1,middle_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;adjacent_target_confusion
76,0.173819,76.jpg,0.002745,C,target_1,"[932.0, 373.0, 1539.0, 1023.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,32120.0,0.014257,"[826.0, 679.0, 936.0, 971.0]",target_2,middle_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;adjacent_target_confusion
84,0.030235,84.jpg,0.099241,B,target_0,"[0.0, 193.0, 99.0, 244.0]",military_equipment,dense_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,600.0,0.001526,"[72.0, 184.0, 82.0, 244.0]",target_7,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,true,military_equipment,dense_valid_target_missed;small_valid_target_missed;adjacent_target_confusion
84,0.015132,84.jpg,0.071301,B,target_0,"[0.0, 193.0, 99.0, 244.0]",military_equipment,dense_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,360.0,0.000916,"[58.0, 204.0, 68.0, 240.0]",target_8,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,true,military_equipment,dense_valid_target_missed;small_valid_target_missed;adjacent_target_confusion
84,0.010918,84.jpg,0.065359,B,target_0,"[0.0, 193.0, 99.0, 244.0]",military_equipment,dense_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,330.0,0.000839,"[53.0, 208.0, 64.0, 238.0]",target_9,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,true,military_equipment,dense_valid_target_missed;small_valid_target_missed;adjacent_target_confusion
84,0.272795,84.jpg,0.037624,B,target_7,"[230.0, 71.0, 727.0, 450.0]",military_equipment,dense_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,15170.0,0.03858,"[691.0, 127.0, 765.0, 332.0]",target_10,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,true,military_equipment,dense_valid_target_missed;edge_or_boundary_target;adjacent_target_confusion
84,0.047574,84.jpg,0.101475,B,target_0,"[0.0, 193.0, 99.0, 244.0]",military_equipment,dense_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,552.0,0.001404,"[0.0, 190.0, 12.0, 236.0]",target_11,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,true,military_equipment,dense_valid_target_missed;small_valid_target_missed;edge_or_boundary_target;adjacent_target_confusion
95,0.187708,95.jpg,0.167764,C,target_0,"[376.0, 273.0, 743.0, 546.0]",military_equipment,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,418392.0,0.792334,"[1.0, 8.0, 895.0, 476.0]",target_2,middle_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
100,0.048416,100.jpg,0.622682,C,target_0,"[0.0, 55.0, 181.0, 441.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,80013.0,0.12412,"[0.0, 37.0, 149.0, 574.0]",target_1,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
100,0.270287,100.jpg,0.251807,C,target_1,"[181.0, 37.0, 1075.0, 531.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,125658.0,0.194926,"[844.0, 4.0, 1078.0, 541.0]",target_3,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
102,0.030763,102.jpg,0.575759,C,target_0,"[534.0, 53.0, 1357.0, 656.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,861939.0,0.598569,"[270.0, 49.0, 1521.0, 738.0]",target_1,middle_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
108,0.238047,108.jpg,0.121884,C,target_0,"[407.0, 141.0, 1622.0, 431.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,75430.0,0.052382,"[1297.0, 288.0, 1694.0, 478.0]",target_2,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;adjacent_target_confusion
110,0.128258,110.jpg,0.013094,B,target_2,"[134.0, 62.0, 179.0, 141.0]",military_equipment,smoke_or_debris_obscured,crop/tiling pass can increase local resolution without globally relaxing the prompt,391.0,0.006025,"[151.0, 42.0, 168.0, 65.0]",target_4,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",true,false,false,military_equipment,smoke_or_debris_obscured;adjacent_target_confusion
110,0.120288,110.jpg,0.0,B,target_0,"[109.0, 42.0, 133.0, 73.0]",military_equipment,smoke_or_debris_obscured,crop/tiling pass can increase local resolution without globally relaxing the prompt,342.0,0.00527,"[150.0, 25.0, 169.0, 43.0]",target_5,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",true,false,false,military_equipment,smoke_or_debris_obscured;small_valid_target_missed
110,0.108039,110.jpg,0.0,B,target_0,"[109.0, 42.0, 133.0, 73.0]",military_equipment,smoke_or_debris_obscured,crop/tiling pass can increase local resolution without globally relaxing the prompt,187.0,0.002882,"[99.0, 12.0, 110.0, 29.0]",target_6,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",true,false,false,military_equipment,smoke_or_debris_obscured;small_valid_target_missed;adjacent_target_confusion
110,0.287158,110.jpg,0.0,B,target_0,"[109.0, 42.0, 133.0, 73.0]",military_equipment,smoke_or_debris_obscured,crop/tiling pass can increase local resolution without globally relaxing the prompt,132.0,0.002034,"[17.0, 8.0, 28.0, 20.0]",target_7,upper_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",true,false,false,military_equipment,smoke_or_debris_obscured;small_valid_target_missed;edge_or_boundary_target
141,0.175647,141.jpg,0.0,B,target_1,"[130.0, 45.0, 170.0, 75.0]",military_equipment,edge_or_boundary_target,tiling/crop pass is safer than broad recall wording for equipment misses,780.0,0.026,"[186.0, 40.0, 201.0, 92.0]",target_3,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,edge_or_boundary_target
146,0.309505,146.jpg,0.0,B,target_0,"[103.0, 102.0, 424.0, 196.0]",military_equipment,small_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,1458.0,0.00519,"[1.0, 160.0, 55.0, 187.0]",target_2,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,small_valid_target_missed;edge_or_boundary_target
147,0.229846,147.jpg,0.0,C,target_0,"[23.0, 126.0, 473.0, 317.0]",military_equipment,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,6003.0,0.026727,"[207.0, 23.0, 294.0, 92.0]",target_2,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece
147,0.2983,147.jpg,0.0,C,target_0,"[23.0, 126.0, 473.0, 317.0]",military_equipment,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,5934.0,0.02642,"[337.0, 20.0, 423.0, 89.0]",target_3,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece
154,0.011566,154.jpg,0.921206,C,target_0,"[0.0, 0.0, 612.0, 208.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,136476.0,0.536058,"[1.0, 1.0, 613.0, 224.0]",target_2,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
160,0.178854,160.jpg,0.037508,C,target_1,"[177.0, 58.0, 344.0, 100.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,13455.0,0.06869,"[270.0, 3.0, 477.0, 68.0]",target_3,upper_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
160,0.246732,160.jpg,0.002329,C,target_0,"[0.0, 58.0, 177.0, 332.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,8748.0,0.04466,"[44.0, 5.0, 206.0, 59.0]",target_4,upper_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
160,0.287594,160.jpg,0.003656,C,target_2,"[344.0, 77.0, 546.0, 332.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,6142.0,0.031356,"[516.0, 1.0, 590.0, 84.0]",target_5,upper_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
161,0.012273,161.jpg,0.867678,C,target_0,"[13.0, 125.0, 609.0, 248.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,79864.0,0.321421,"[16.0, 111.0, 612.0, 245.0]",target_1,middle_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
164,0.004949,164.jpg,0.934411,C,target_1,"[480.0, 161.0, 611.0, 294.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,17290.0,0.069244,"[480.0, 159.0, 613.0, 289.0]",target_2,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
169,0.326983,169.jpg,0.011861,C,target_0,"[140.0, 137.0, 983.0, 746.0]",military_equipment,adjacent_target_confusion,crop-level verifier can compare the missed reference against nearby predictions,38976.0,0.03146,"[1.0, 98.0, 175.0, 322.0]",target_1,upper_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,edge_or_boundary_target;adjacent_target_confusion
