case_id,contact_sheet_path,crop_path,crop_status,distance_to_nearest_prediction_center,image_filename,iou_with_nearest_prediction,likely_recoverable_by,nearest_predicted_label,nearest_prediction_bbox,nearest_prediction_target_type,primary_failure_class,recovery_reason,reference_area,reference_area_ratio,reference_bbox,reference_label,reference_position,reviewer_note,risk_to_case_110,risk_to_controls_155_166_office,risk_to_dense_cases,target_type,taxonomy_tags
70,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_70_target_2_buildings.jpg,generated_local_only,,70.jpg,,,,,,building_or_structure_piece,,,,"[135.0, 1.0, 588.0, 278.0]",target_2,,,,,,buildings,
76,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_76_target_1_buildings.jpg,generated_local_only,,76.jpg,,,,,,building_or_structure_piece,,,,"[403.0, 488.0, 801.0, 939.0]",target_1,,,,,,buildings,
76,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_76_target_2_buildings.jpg,generated_local_only,,76.jpg,,,,,,building_or_structure_piece,,,,"[826.0, 679.0, 936.0, 971.0]",target_2,,,,,,buildings,
84,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_dense_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_84_target_7_military_equipment.jpg,generated_local_only,,84.jpg,,,,,,dense_valid_target_missed,,,,"[72.0, 184.0, 82.0, 244.0]",target_7,,,,,,military_equipment,
84,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_dense_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_84_target_8_military_equipment.jpg,generated_local_only,,84.jpg,,,,,,dense_valid_target_missed,,,,"[58.0, 204.0, 68.0, 240.0]",target_8,,,,,,military_equipment,
84,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_dense_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_84_target_9_military_equipment.jpg,generated_local_only,,84.jpg,,,,,,dense_valid_target_missed,,,,"[53.0, 208.0, 64.0, 238.0]",target_9,,,,,,military_equipment,
84,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_dense_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_84_target_10_military_equipment.jpg,generated_local_only,,84.jpg,,,,,,dense_valid_target_missed,,,,"[691.0, 127.0, 765.0, 332.0]",target_10,,,,,,military_equipment,
84,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_dense_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_84_target_11_military_equipment.jpg,generated_local_only,,84.jpg,,,,,,dense_valid_target_missed,,,,"[0.0, 190.0, 12.0, 236.0]",target_11,,,,,,military_equipment,
95,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_95_target_2_buildings.jpg,generated_local_only,,95.jpg,,,,,,building_or_structure_piece,,,,"[1.0, 8.0, 895.0, 476.0]",target_2,,,,,,buildings,
100,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_100_target_1_buildings.jpg,generated_local_only,,100.jpg,,,,,,building_or_structure_piece,,,,"[0.0, 37.0, 149.0, 574.0]",target_1,,,,,,buildings,
100,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_100_target_3_buildings.jpg,generated_local_only,,100.jpg,,,,,,building_or_structure_piece,,,,"[844.0, 4.0, 1078.0, 541.0]",target_3,,,,,,buildings,
102,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_102_target_1_buildings.jpg,generated_local_only,,102.jpg,,,,,,building_or_structure_piece,,,,"[270.0, 49.0, 1521.0, 738.0]",target_1,,,,,,buildings,
108,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_108_target_2_buildings.jpg,generated_local_only,,108.jpg,,,,,,building_or_structure_piece,,,,"[1297.0, 288.0, 1694.0, 478.0]",target_2,,,,,,buildings,
110,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_smoke_or_debris_obscured.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_110_target_4_military_equipment.jpg,generated_local_only,,110.jpg,,,,,,smoke_or_debris_obscured,,,,"[151.0, 42.0, 168.0, 65.0]",target_4,,,,,,military_equipment,
110,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_smoke_or_debris_obscured.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_110_target_5_military_equipment.jpg,generated_local_only,,110.jpg,,,,,,smoke_or_debris_obscured,,,,"[150.0, 25.0, 169.0, 43.0]",target_5,,,,,,military_equipment,
110,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_smoke_or_debris_obscured.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_110_target_6_military_equipment.jpg,generated_local_only,,110.jpg,,,,,,smoke_or_debris_obscured,,,,"[99.0, 12.0, 110.0, 29.0]",target_6,,,,,,military_equipment,
110,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_smoke_or_debris_obscured.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_110_target_7_military_equipment.jpg,generated_local_only,,110.jpg,,,,,,smoke_or_debris_obscured,,,,"[17.0, 8.0, 28.0, 20.0]",target_7,,,,,,military_equipment,
141,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_edge_or_boundary_target.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_141_target_3_military_equipment.jpg,generated_local_only,,141.jpg,,,,,,edge_or_boundary_target,,,,"[186.0, 40.0, 201.0, 92.0]",target_3,,,,,,military_equipment,
146,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_small_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_146_target_2_military_equipment.jpg,generated_local_only,,146.jpg,,,,,,small_valid_target_missed,,,,"[1.0, 160.0, 55.0, 187.0]",target_2,,,,,,military_equipment,
147,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_147_target_2_buildings.jpg,generated_local_only,,147.jpg,,,,,,building_or_structure_piece,,,,"[207.0, 23.0, 294.0, 92.0]",target_2,,,,,,buildings,
